"id","id_mental","indikator_detail"
"1","1","[1. Niat Belajar sebagai Ibadah] Menjadikan belajar sebagai bentuk pengabdian kepada Allah."
"2","1","[1. Niat Belajar sebagai Ibadah] Memulai belajar dengan doa dan niat yang lurus."
"3","1","[2. Kesadaran akan Tujuan Ilmu] Menyadari bahwa belajar bukan sekadar formalitas, tetapi untuk memahami kebenaran."
"4","1","[2. Kesadaran akan Tujuan Ilmu] Menempatkan ilmu sebagai jalan menuju kedekatan dengan Allah."
"5","1","[3. Orientasi “Tahu dan Bisa”] Belajar bukan hanya untuk hafal, tetapi untuk memahami dan mengamalkan."
"6","1","[3. Orientasi “Tahu dan Bisa”] Menjadikan ilmu sebagai bekal praktik nyata dalam kehidupan."
"7","1","[4. Konsistensi dalam Menuntut Ilmu] Tekun belajar meski menghadapi kesulitan."
"8","1","[4. Konsistensi dalam Menuntut Ilmu] Tidak mudah menyerah ketika belum paham."
"9","1","[5. Integrasi Ilmu dan Amal] Menghubungkan pengetahuan dengan tindakan nyata."
"10","1","[5. Integrasi Ilmu dan Amal] Menjadikan ilmu sebagai pedoman dalam akhlak dan ibadah."
"11","1","[6. Sikap Rendah Hati] Tidak sombong dengan ilmu yang dimiliki."
"12","1","[6. Sikap Rendah Hati] Menyadari bahwa ilmu adalah amanah, bukan sekadar prestasi."
"13","1","[7. Spiritualitas dalam Belajar] Menjadikan belajar sebagai sarana mendekatkan diri kepada Allah."
"14","1","[7. Spiritualitas dalam Belajar] Meyakini bahwa ilmu yang bermanfaat adalah yang membawa keberkahan."
"15","2","[1. Menjadikan Benar sebagai Fondasi] Memastikan setiap pilihan dan tindakan sesuai syariat Allah."
"16","2","[1. Menjadikan Benar sebagai Fondasi] Tidak mengorbankan prinsip halal-haram demi keuntungan duniawi."
"17","2","[1. Menjadikan Benar sebagai Fondasi] Menjadikan wahyu sebagai kompas utama dalam hidup."
"18","2","[2. Menempatkan Baik sebagai Wajah] Menampilkan akhlak mulia dalam interaksi sosial."
"19","2","[2. Menempatkan Baik sebagai Wajah] Menghargai norma, budaya, dan etika yang berlaku."
"20","2","[2. Menempatkan Baik sebagai Wajah] Menjaga hubungan dengan sesama melalui sikap ramah, adil, dan empati."
"21","2","[3. Menjadikan Indah sebagai Harmoni] Menggabungkan kebenaran syariat dengan kebaikan sosial sehingga lahir keindahan."
"22","2","[3. Menjadikan Indah sebagai Harmoni] Menyampaikan kebenaran dengan cara yang menyejukkan dan menenangkan."
"23","2","[3. Menjadikan Indah sebagai Harmoni] Menjadikan amal shalih bukan hanya benar secara hukum Allah, tetapi juga membawa maslahat bagi manusia."
