Id,Tema,Karakter,Penjelasan
1,3 Tujuan Penciptaan Manusia,Memiliki tujuan hidup,"Allah Swt tidak menciptakan manusia hanya untuk main-main, Allah menciptakan manusia dengan tujuan hadiah dan hukuman. Apabila tujuan itu dapat dicapai oleh manusia maka akan diganjar dengan hadiah surga. Apabila tujuan itu tidak tercapai, maka akan diganjar dengan neraka."
2,3 Tujuan Penciptaan Manusia,Mampu memimpin & dipimpin,Tujuan penciptaan yang pertama adalah menjadi pemimpin (khalifah). Dan tak mungkin bisa menjadi pemimpin apabila tidak bisa dipimpin.
3,3 Tujuan Penciptaan Manusia,Mampu mengatur diri & waktu dengan baik.,Tujuan penciptaan yang Allah canangkan tidak mungkin akan dapat dicapai oleh manusia apabila manusia itu tidak bisa mengatur diri dan waktunya dengan baik.
4,3 Tujuan Penciptaan Manusia,Terlibat dalam kehidupan sosial & suka membantu,"“Tujuan penciptaan manusia adalah ; agar manusia menjadi pemimpin, agar manusia menegakkan ibadah, agar manusia menjadi bermanfaat (terutama sebagai Ahlul Quran). Tujuan penciptaan yang ketiga ( agar manusia menjadi bermanfaat ) hanya mungkin diraih dengan cara terlibat dengan kehidupan sosial dan memberikan manfaat bagi orang lain dan masyarakat.”"
5,3 Tujuan Penciptaan Manusia,Konsisten ibadahnya & memiliki hubungan yang kuat dengan Al-Quran,"Apabila manusia tidak beribadah, maka jelas 1 tujuan penciptaan gagal ia raih. Apabila manusia tidak punya interaksi dengan Al-Quran (tidak bisa membaca, menghafal, memahami, mengamalkan, dan mengajarkannya) maka ia akan gagal mencapai 1 tujuan penciptaan yang Allah taala canangkan."
6,3 Alat Belajar Manusia,Rasa ingin tahunya besar & gemar membaca,“Belajar” adalah perintah pertama yang turun melalui ayat QS Al-Alaq ayat 1-5. Ini membuktikan bahwa manusia hanya akan sukses apabila ia gemar membaca. Semakin banyak yang ia baca maka akan semakin kaya ia dengan pertanyaan-pertanyaan. Dan ciri manusia cerdas adalah “Banyak bertanya.” atau “Punya rasa ingin tahu yang besar.”
7,3 Alat Belajar Manusia,Berpikiran terbuka & suka mencoba hal baru.,"Manusia yang menjalankan perintah Allah yang pertama. Akan Allah Swt jadikan ia bermindset yang growth dan open mind. Dengan begitu ia akan punya peluang besar untuk menjadi orang yang maksimal kecerdasan kognitifnya, emotionalnya, dan spiritualnya. Fisiknya sehat, mentalnya hebat, softskillnya indah, dan karakternya Quranik. Isya Allah bukan hanya pikiran dan perkataannya, tetapi juga perbuatannya."
8,3 Alat Belajar Manusia,Imajinasinya kaya (Sumber K2IAM),"Awalnya semua manusia pandai menghayal, semestinya ini adalah pondasi dari kreativitas, inovasi, dan antisipatif. Namun sayang kebanyakan manusia membunuh kemampuan ini sejak dini. Bagaimana mereka membunuh potensi-potensi hebat ini ? Dengan menggunakan telinga mata dan hatinya untuk hiburan dan bermaksiat, bukan untuk membaca dan mempertajam rasa ingin tahunya."
9,3 Alat Belajar Manusia,Berjuang memfilter 3 alat belajar.,"Manusia yang banyak membaca, ia akan kaya dengan pengetahuan, kaya wawasannya, pikirannya besar, tinggi cita-citanya. Dan manusia yang seperti itu akan mudah memahami tentang Tuhan dan nilai-nilai agung agama. Dan manusia yang seperti itu akan semakin takut kepada Allah, dan akan semakin berhati-hati terhadap apa yang ia dengar, lihat, dan rasa."
10,Sumber kejahatan,Menjadikan Islam sebagai identitas diri yang utama.,"Sumber kejahatan manusia adalah hawa nafsu dan syaithan. Untuk menghadapi dua bahaya ini, manusia butuh nilai yang agung (Agama). Dan itulah fungsi yang utama dari agama, yaitu mengenalkan Tuhan dan mengenalkan tentang kebenaran, pahala, dan dosa. Maka keterikatan dengan agama merupakan syarat mutlak. Seharusnya manusia bangga dengan agama dan agama harusnya menjadi identitas dirinya. Misalnya “Kenalkan nama saya purwanto dan saya seorang muslim”. Manusia yang bahkan ‘malu’ dengan keislamannya, ia akan dekat dengan syaithan dan ia akan gampang kalah dengan hawa nafsunya."
11,Sumber kejahatan,Menjadikan Islam sebagai sumber kebenaran.,"Agama Islam adalah patokan atau rujukan dari semua nilai. Termasuk nilai”Benar’ dan “Salah”. Manusia yang menjadikan agama sebagai sumber kebenaran, isya Allah tidak akan kebingungan. Berbeda dengan orang yang mengambil kebenaran dari selain agama, ia akan bingung dengan pertentangan yang banyak antara kebenaran yang pragmatis, bisa berbeda dengan kebenaran konsensus, atau bahkan mengambil pikiran manusia yang berbeda-beda standarnya, apalagi mengambil dari budaya manusia yang berbagai macam."
12,Sumber kejahatan,"Menjadikan Islam sebagai panduan dalam berpikir, berkata, & bertindak.",Seorang mukmin yang taat dan patuh kepada Islam tentu akan menjadikan Al-Quran sebagai petunjuk untuk berpikir berucap dan bertindak. Hidup seorang mukmin diatur sepenuhnya oleh Islam.
13,Sumber kejahatan,Berusaha keras untuk berbuat benar.,"“Manusia memang bukan malaikat yang pasti berbuat benar. Manusia Allah jadikan sebagai mahluk yang bebas memilih, ia digoda oleh syaithan dan hawa nafsunya. Oleh karena itulah, kadang manusia itu keliru, kadang salah, kadang bertentangan dengan agama.”Tetapi satu hal yang tak boleh hilang, yaitu keinginan untuk berbuat benar. Asalkan keinginan ini ada maka dosa dan kesalahan sangat mungkin akan Allah ampuni."
14,Sumber kejahatan,Berusaha keras mencegah dirinya berbuat salah.,"Manusia memang bukan malaikat yang pasti berbuat benar. Manusia Allah jadikan sebagai mahluk yang bebas memilih, ia punya hawa nafsu dan harus juga menghadapi godaan syaithan. Oleh karena itulah, kadang pilihan manusia itu keliru, kadang salah, kadang bertentangan dengan agama. Tetapi satu hal yang tak boleh hilang, yaitu keinginan untuk tidak berbuat salah. Asalkan keinginan ini ada maka manusia itu selalu diberi kesempatan oleh Allah untuk bertaubat."
15,Sumber kejahatan,Memilih lingkungan & teman agar agama nya terjaga.,"Salah satu cara agar manusia selalu ingin berbuat benar, dan selalu berusaha mencegah untuk berbuat salah… yaitu memilih lingkungan dan teman yang membuat agama dan moralnya terjaga."
16,Akhirat prioritas,Menyadari bahwa dunia itu penting hanya karena itulah sat-satunya jalan menuju akhirat.,"Mukmin yang mempelajari Al-Quran akan tahu dan paham bahwa manusia sedang melakukan perjalanan yang panjang menuju dimensi akhirat. Dunia ini adalah halte, dan tempat dimana manusia mendapatkan tiket menuju ke surga. Oleh karena itu manusia tidak boleh tersesat dengan apapun yang ada di dunia, seperti harta, jabatan, kesenangan, dsb. Sebab itu adalah godaan dan ujian agar manusia melupakan akhirat dan surga."
17,Akhirat prioritas,"Cita-cita, visi, dan misinya dunia sekaligus akhirat.","Berdasarkan pemahaman tentang kesementaraan dunia, dan keabadian akhirat, maka seharusnya apapun yang dilakukan manusia, tujuannya bukan hanya untuk dunia ini. Tetapi harus juga bernilai ibadah. Maka mukmin yang memahami ini harus menjadikan cita-cita, visi, dan misinya itu bernilai dunia sekaligus bernilai akhirat."
18,Akhirat prioritas,"Menjadikan Allah, Quran dan Nabi Saw sebagai prioritas yang lebih besar dari semua urusan.","Mukmin yang mempelajari Al-Quran akan tahu dan paham bahwa manusia sedang melakukan perjalanan yang panjang menuju dimensi akhirat. Dunia ini adalah halte, dan tempat dimana manusia mendapatkan tiket menuju ke surga. Tiket itu adalah ampunan Allah, cinta Allah dan ridlo nya Allah. Dan itu hanya akan didapat apabila mukmin menjadikan Al-Quran sebagai kitab petunjuk dan menjadikan Nabi Muhammad sebagai junjungan dan tauladan yang utama. Maka dalam segala urusan, manusia harus merujuk kepada Islam agar tidak bertentangan dengan Allah Swt, Kitabullah, and Nabi Saw."
19,Makna ujian,Memahami bahwa ujian adalah keniscayaan.,Mukmin yang mempelajari Al-Quran akan tahu dan paham bahwa manusia di dunia ini hakikatnya adalah sedang menjalani ujian. Dan ujian itu bentuknya tawa dan tangis. Yang paling terasa menyakitkan adalah ujian berbentuk tangis. Ini yang sering ditolak oleh manusia. Padahal tak mungkin menolak ujian. Ujian adalah keniscayaan. Pasti terjadi.
