Id,Id_Indikator_Global,Indikator_Detail
1,1,"1. Terbuka terhadap Masukan Menerima kritik dan saran dari orang lain tanpa defensif. Menganggap masukan sebagai peluang untuk belajar, bukan ancaman."
2,1,2. Rendah Hati Tidak merasa paling benar atau paling hebat. Menghargai kelebihan orang lain sebagai inspirasi untuk berkembang.
3,1,"3. Memberi Apresiasi Menghargai karya, usaha, dan pendapat orang lain. Menjadikan apresiasi sebagai motivasi bersama untuk tumbuh."
4,1,4. Empati & Kepedulian Mau memahami sudut pandang orang lain. Menjadikan interaksi sebagai sarana memperkaya pengalaman diri.
5,1,"5. Kolaboratif Senang bekerja sama untuk mencapai tujuan bersama. Melihat orang lain sebagai mitra belajar, bukan pesaing semata."
6,1,6. Berbagi Ilmu & Pengalaman Tidak pelit membagikan pengetahuan yang dimiliki. Menjadikan berbagi sebagai bagian dari proses pengembangan diri.
7,1,7. Integrasi Nilai Spiritual Meyakini bahwa memperlakukan orang lain dengan baik adalah bagian dari ibadah. Menjadikan hubungan sosial sebagai sarana memperbaiki diri di hadapan Allah.
8,2,"1. Kejujuran dalam Interaksi Tidak menipu, berbohong, atau menyembunyikan kebenaran. Menyampaikan informasi dengan jelas dan apa adanya."
9,2,"2. Keadilan & Tidak Memihak Memperlakukan orang lain dengan adil, tanpa diskriminasi. Tidak memihak hanya karena kedekatan atau kepentingan pribadi."
10,2,3. Amanah & Tanggung Jawab Menepati janji dan komitmen terhadap orang lain. Menjaga kepercayaan yang diberikan.
11,2,"4. Kasih Sayang & Empati Memperlakukan orang lain dengan kelembutan dan kepedulian. Menolong tanpa pamrih, sebagai wujud kebenaran yang diajarkan agama."
12,2,5. Menjaga Lisan Tidak menyakiti orang lain dengan kata-kata. Menggunakan lisan untuk menebar kebaikan dan nasihat yang benar.
13,2,6. Menolak Kemungkaran Berani menegur dengan cara bijak bila melihat keburukan. Tidak ikut serta dalam perbuatan salah meski diajak.
14,2,7. Orientasi Maslahat Menjadikan hubungan sosial sebagai sarana menebar kebaikan. Mengutamakan manfaat bersama di atas kepentingan pribadi.
15,3,1. Mudah Memaafkan Tidak menyimpan dendam ketika disakiti. Cepat memberi maaf tanpa menunggu permintaan maaf.
16,3,2. Memaklumi Keterbatasan Menyadari bahwa setiap orang punya kelemahan. Tidak menuntut kesempurnaan dari orang lain.
17,3,3. Empati & Kasih Sayang Berusaha memahami alasan di balik kesalahan orang lain. Menunjukkan kepedulian meski pernah dirugikan.
18,3,4. Menjaga Lisan & Sikap Tidak membalas kesalahan dengan kata-kata kasar. Menyikapi orang lain dengan kelembutan dan adab.
19,3,5. Orientasi Perdamaian Lebih memilih damai daripada memperbesar konflik. Menjadi penyejuk dalam lingkungan sosial.
20,3,6. Keteladanan Akhlak Menjadikan sikap pemaaf sebagai teladan bagi teman-teman. Menunjukkan bahwa kasih sayang adalah bagian dari iman.
21,3,7. Integrasi Nilai Spiritual Meyakini bahwa memaafkan adalah perintah Allah dan sunnah Nabi ﷺ . Menjadikan sikap memaklumi sebagai bentuk ibadah dan jalan menuju ridha Allah.
22,4,1. Konsistensi dalam Sikap Memperlakukan orang lain dengan cara yang selaras dengan tujuan hidupnya. Tidak mudah berubah sikap hanya karena tekanan atau kepentingan sesaat.
23,4,2. Kejujuran & Integritas Menyampaikan pendapat dengan jujur meski berisiko. Tidak mengorbankan kebenaran demi keuntungan pribadi.
24,4,3. Dukungan terhadap Orang Lain Mendorong orang lain agar ikut fokus pada tujuan baik. Menjadi teladan dalam menjaga komitmen.
25,4,4. Keteguhan dalam Prinsip Tidak ikut-ikutan dalam hal yang menyimpang dari tujuan. Berani menolak ajakan yang bertentangan dengan nilai kebenaran.
26,4,"5. Empati & Pengertian Memahami bahwa orang lain mungkin belum sejalan, tetapi tetap memperlakukan mereka dengan hormat. Menjadi penyemangat, bukan penghakim."
27,4,6. Orientasi pada Kebaikan Bersama Menjadikan tujuan pribadi selaras dengan maslahat sosial. Mengajak orang lain untuk bersama-sama menuju kebaikan.
28,4,7. Integrasi Spiritualitas Meyakini bahwa kesetiaan pada tujuan adalah bagian dari ibadah. Memperlakukan orang lain dengan adab Islami sebagai wujud kesetiaan pada agama dan tujuan hidup.
29,5,1. Mendahulukan Kepentingan Bersama Rela menunda kepentingan pribadi demi keberhasilan kelompok. Menempatkan tujuan bersama di atas ego individu.
30,5,"2. Rela Berkorban Waktu & Tenaga Bersedia membantu orang lain meski harus mengurangi kenyamanan diri. Menyumbangkan tenaga, pikiran, atau waktu untuk keberhasilan bersama."
31,5,3. Tidak Perhitungan Tidak selalu menuntut imbalan atas pengorbanan. Ikhlas memberi tanpa mengungkit-ungkit.
32,5,4. Solidaritas & Empati Peduli terhadap kesulitan orang lain dan siap membantu. Menjadikan pengorbanan sebagai wujud kasih sayang sesama.
33,5,5. Menjaga Ukhuwah Tidak membiarkan perbedaan kecil merusak tujuan besar. Mengutamakan persaudaraan meski harus mengalah.
