Id,Tema,Karakter,Penjelasan
1,Kharisma,Keinginan untuk selalu mengembangkan diri.,"Kharisma ini adalah karunia Allah Swt. Isya Allah akan diberikan kepada orang yang memperlakukan orang lain dengan indah, benar, atau baik. Untuk itu ia harus memiliki : Keinginan untuk selalu mengembangkan diri. Sikap dan perbuatan orang lain itu ada tiga warna. Ada yang tidak menyenangkan, ada yang menyenangkan, dan ada yang belum jelas. Agar mampu merespons dengan indah, seorang harus memiliki empat kecerdasan yang tinggi. Ketika seseorang memiliki dorongan untuk terus “mengembangkan diri” ia akan lebih terbuka, sabar, dan bijak. Ia tidak hanya melihat tindakan orang lain sebagai masalah, tetapi juga sebagai kesempatan untuk mengasah ketajaman kognitif, emotional, dan spiritualnya. Dengan kesadaran seperti ini, tanggapan atau respon yang muncul bukan sekadar reaksi spontan, melainkan respons dan tanggapan yang posisi dan penuh makna."
2,Kharisma,Kesetiaan pada Agama dalam wujud berbuat benar,"“Kesetiaan pada agama” adalah pondasi yang vital. Kesetiaan ini harus diwujudkan secara nyata dalam tindakan sehari-hari: berkata jujur, berlaku adil, penghormatan, egaliter, dan nilai-nilai Islam lainnya. Islam akan memberikannya pedoman yang menuntun hati dan pikirannya. Dengan pedoman itu, ia mampu merespons sikap dan perbuatan orang lain dengan indah ; tidak impulsif melainkan dengan ketenangan, kasih, dan kebijaksanaan. Kesetiaan pada agama menjadikan setiap responsnya bukan sekadar jawaban biasa tetapi cerminan kebenaran Islam yang Mulia."
3,Kharisma,"Menyayangi manusia, dalam wujud memaafkan & memaklumi.","Hampir semua konflik dipicu oleh respon yang buruk. Agar seseorang bisa memberikan tanggapan atau respons yang baik, ia perlu memiliki ‘Rasa kasih sayang” yang wujud nyatanya adalah “mudah memaklumi dan mudah memaafkan.” Ketika seseorang terbiasa memaafkan dan memaklumi, ia mampu melihat kelemahan orang lain sebagai bagian dari kemanusiaan, bukan sebagai serangan dan alasan untuk marah. Dari rasa itu (Rasa kasih sayang) lahirlah tanggapan atau respon yang indah—tenang, penuh pengertian, dan menyejukkan. Rasa itu (Rasa kasih sayang) menjadikan setiap interaksi dengan orang lain sebagai kesempatan untuk menebar kebenaran dan kebaikan."
4,Power,Kesetiaan pada tujuan.,"Power ini adalah karunia Allah Swt. Isya Allah akan diberikan kepada orang yang memiliki : “Kesetiaan pada tujuan.” Power adalah kekuatan seseorang dalam menghadapi kendala yang merintangi terealisasinya tujuan. Ia berani menatap dan menerjang rintangan. Ia akan  mengerahkan tenaga dan pikirannya, lalu melangkah maju tanpa gentar. Kekuatan seperti itu hanya lahir dari “kesetiaan pada tujuan.” Kesetiaan pada tujuan membuat seseorang tidak mudah goyah dan mundur menghadapi sikap dan perbuatan orang lain baik berupa hambatan atau godaan yang akan menghalanginya dari tujuan. Untuk orang yang setia pada tujuannya, rintangan-rintangan itu malah menjadi bahan bakar dari kekuatannya."
5,Power,Kemauan untuk berkurban demi tercapainya tujuan.,"Kesetiaan pada tujuan, tidak mungkin tegak tanpa kesiapan dan kesediaan untuk berkurban. Pengorbanan itu artinya “Rela melepas kenyamanan. Rela menghabiskan waktu dan tenaga. Rela memberikan apapun yang kita miliki.” demi tercapainya tujuan. Semua orang yang kita temui dalam perjalanan menuju tujuan kita pasti meminta sesuatu dari kita, dan kita tak punya pilihan lain selain memberikannya dengan benar. Atasan meminta kita bekerja keras, bawahan meminta integritas kita, partner meminta loyalitas kita, konsumen meminta layanan kita, dst. Semua itu adalah bentuk dari yang namanya “pengorbanan”."
6,Power,Kekuatan untuk mengelola konflik.,"Konflik adalah bagian tak terpisahkan dari perjalanan menuju tujuan. Pasti ada konflik di semua perjalanan. Sebagian besar konflik pasti berhubungan dengan sikap dan perbuatan orang lain, maka yang dimaksud dengan mengelola konflik adalah juga “Mengelola sikap dan perbuatan orang lain”. Konflik harus dikelola dengan baik, kalau tidak ia hanya akan menguras energi kita. Waktu dan tenaga habis dalam pertentangan perselisihan dan pertengkaran yang sebenarnya tidak perlu. Dengan kekuatan dan kepandaian dalam mengelola konflik (baca ; manusia), seseorang mampu menjaga fokus, menenangkan suasana, dan mengubah perbedaan menjadi peluang untuk tercapainya tujuan."
7,Power,Keberanian untuk mengambil keputusan dan menanggung resikonya.,"Seperti semua perjalanan menuju suatu tujuan, pasti akan ada persimpangan jalan yang menghadirkan kebingungan kebimbangan. Di saat seperti inilah “Keputusan yang tepat mesti diambil.” Keputusan adalah titik penentu dalam perjalanan menuju tujuan. Tanpa keberanian mengambil keputusan, langkah akan terhenti di persimpangan. Dan pada setiap pilihan yang diambil pasti terdapat resikonya. Maka perlu kesanggupan untuk menanggung resikonya. Keputusan hanya akan menjadi kata-kata kosong tanpa kemampuan menanggung resiko. Menanggung risiko artinya menghadapi konsekuensi, siap belajar dari hasil, siap salah, dan siap untuk terus bergerak."
8,Authority,Memahami apa yang ia buat atau rencanakan (masterplan).,"Authority ini adalah kualitas yang akan tumbuh di dalam diri seseorang yang memiliki : “Memahami apa yang ia buat atau rencanakan (masterplan).” Authority adalah kemampuan untuk memberikan perintah dengan jelas dan mudah dipahami, sehingga perintah itu dapat dilaksanakan dengan presisi. Agar seseorang benar-benar memiliki authority, ia harus memahami apa yang ia buat dan ia rencanakan. Tanpa pemahaman terhadap apa yang ia buat dan rencanakan, seseorang tidak mungkin bisa menciptakan kata perintah yang memiliki makna, arah dan kekuatan yang jelas. Authority atau wewenang yang sejati bukan sekadar asal memerintah, melainkan juga memberikan tuntunan dan petunjuk pelaksanaan dengan jelas sehingga perintah dapat dikerjakan dengan tepat."
9,Authority,Pandai membujuk orang (Persuasif).,"Authority atau Wewenang bukan hanya soal memberi instruksi, tetapi juga bagaimana membuat orang lain mau melaksanakannya dengan penuh kesadaran. Dengan kepandaian membujuk, perintah tidak terasa sebagai beban atau paksaan, melainkan sebagai ajakan sukarela yang masuk akal dan menyenangkan untuk dikerjakan."
10,Authority,Pandai memaksa orang (Imperatif).,"Terkadang kita berhadapan dengan orang yang tidak ingin mengerjakan perintah kita dengan alasan negatif maupun positif. Pada moment seperti inilah kita harus memastikan dan memaksa orang agar menjalankan perintah kita, karena kita yakin bahwa perintah kita benar dan harus dilaksanakan. Kemampuan memaksa (Imperatif) akan menjadi daya dorong yang efektif agar seseorang mengerjakan perintah walau ia tak menyetujui atau keberatan dengan perintah tersebut. Nanti ketika perintah itu benar-benar menghasilkan yang dikehendaki barulah orang yang kita perintah akan mengakui kelayakan otoritas kita."
11,influential,Kemampuan komunikasi dalam wujud interaksi & negoisasi.,"Influential adalah kualitas yang akan muncul apabila seseorang memiliki : “Kemampuan komunikasi dalam wujud interaksi & negoisasi.” Influential adalah kemampuan mempengaruhi orang lain dengan kata-kata yang jelas, kuat, dan menarik, yang didukung oleh teladan yang selaras. Agar seseorang benar-benar memiliki kualitas ini, ia harus memiliki kemampuan komunikasi untuk berinteraksi atau bernegosiasi dengan orang lain, baik itu perorangan, kelompok, maupun massa. Komunikasi yang mumpuni membuat seseorang mampu menjalin kedekatan, membangun kepercayaan, dan menyampaikan gagasan dengan meyakinkan. Influence bukan sekadar kemampuan mengeluarkan kata-kata, tetapi kekuatan sastra yang menggerakkan hati dan pikiran orang lain untuk bertindak persis seperti yang kita inginkan."
12,influential,Kepandaian memilih diksi yang mumpuni.,"Komunikasi mestinya bukan sekedar kata-kata biasa, ia harus mengandung kekuatan keindahan dan magnet yang bisa menggerakkan hati dan pikiran orang yang mendengarnya. Kemampuan ini dibangun juga dari kepandaian memilih dan mengolah diksi. Dari sinilah kualitas influence mulai tumbuh, dan akan sukses apabila disusul dengan tauladan yang selaras."
13,influential,Daya ajak yang kuat.,"Kata-kata indah yang tidak dibarengi dengan daya ajak yang kuat mungkin hanya akan jadi pengetahuan dan pemahaman. Tapi belum dapat menjadi penggerak. Daya ajak atau “Call To Action” membuat kata-kata tidak hanya terdengar baik benar dan indah saja, tetapi juga mampu menggerakkan pikiran, hati dan perbuatan orang lain."
14,influential,Tauladan yang selaras dengan pikiran dan kata-katanya.,"Kata-kata yang indah akan kehilangan makna jika tidak sejalan dengan tindakan. Kata-kata ajakan juga akan gagal tanpa dibarengi dengan tauladan. Orang lain tidak hanya mendengar, tetapi juga melihat. Maka mereka tidak hanya mendengar kata-kata, tetapi mereka juga menuntut bukti."
